id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000010290,619.7332696,0.04677333,0.079999952,0.584666975,0.558771664,0.743650107
ENSMUSG00000008136,1005.469104,0.239014855,0.091175846,2.621471212,0.008755116,0.069066424
ENSMUSG00000094497,4.21827403,-0.531574747,0.717563267,-0.740805406,0.458811437,NA
ENSMUSG00000099576,1.326828412,2.547736621,1.240646584,2.053555504,0.040018732,NA
ENSMUSG00000099694,3.175896936,-0.401729529,0.731805252,-0.548956882,0.583035041,NA
ENSMUSG00000101923,0,NA,NA,NA,NA,NA
ENSMUSG00000066877,601.6482722,0.206897014,0.151291757,1.36753659,0.171457176,0.381203741
ENSMUSG00000103422,1.558630351,-0.322409153,1.584115003,-0.203526355,0.838723648,NA
ENSMUSG00000103945,21.50516603,0.142048776,0.567165244,0.250453951,0.802236312,0.89644046
ENSMUSG00000026051,9.099018296,-1.197641719,0.544049006,-2.201348971,0.027711329,0.135345877
ENSMUSG00000100764,2.817431925,0.111530144,0.868016706,0.128488476,0.897762417,NA
ENSMUSG00000100635,1.409846971,1.535249207,1.361871187,1.127308677,0.259611995,NA
ENSMUSG00000100480,3.737426148,-0.114218969,0.667923888,-0.171005965,0.864219076,NA
ENSMUSG00000057363,1019.892286,0.076885559,0.109295061,0.703467822,0.481764253,0.686144243
ENSMUSG00000090243,168.8793237,-0.012038007,0.20697519,-0.058161595,0.953619912,0.977760056
ENSMUSG00000100701,7.295225271,0.099812671,0.4488212,0.222388496,0.824011467,NA
ENSMUSG00000101395,0.265490097,-0.231264379,2.98078746,-0.077584995,0.938158179,NA
ENSMUSG00000088848,0,NA,NA,NA,NA,NA
ENSMUSG00000041763,2250.378509,0.265328525,0.155238267,1.709169585,0.087419541,0.259828219
ENSMUSG00000047343,5.54946803,0.007897748,0.690918812,0.01143079,0.990879748,NA
ENSMUSG00000090106,0.127179263,0.922857253,4.27958794,0.215641615,0.829267115,NA
ENSMUSG00000091844,10.0220631,0.211902779,0.487213772,0.434927729,0.663614887,0.812983393
ENSMUSG00000026049,240.7069904,0.3737181,0.137481259,2.718320323,0.006561428,0.057625444
ENSMUSG00000101104,0,NA,NA,NA,NA,NA
ENSMUSG00000026047,545.8808708,0.238168574,0.099762234,2.387362079,0.016969769,0.100547186
ENSMUSG00000041684,602.4252359,0.091850593,0.124234907,0.739329988,0.459706644,0.668035744
ENSMUSG00000026048,703.1602203,0.006136722,0.091890029,0.066783333,0.946754192,0.973997553
ENSMUSG00000046828,0,NA,NA,NA,NA,NA
ENSMUSG00000089703,2.609085973,3.036708974,1.272942806,2.38558163,0.017052138,NA
ENSMUSG00000100966,0.048798273,-0.231277641,4.27958794,-0.054042035,0.956901674,NA
ENSMUSG00000100769,0,NA,NA,NA,NA,NA
ENSMUSG00000101567,132.158943,-0.172041165,0.24044342,-0.71551621,0.474290128,0.680042282
ENSMUSG00000056870,22.66797943,-1.389985742,0.419669878,-3.312093182,0.000926007,0.017999455
ENSMUSG00000102319,0.215939337,1.292951344,4.244035061,0.304651428,0.760631646,NA
ENSMUSG00000089877,0.046246322,-0.231277641,4.27958794,-0.054042035,0.956901674,NA
ENSMUSG00000101701,0.092492644,-0.231282925,4.27958794,-0.05404327,0.95690069,NA
