id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000776,457.8899457,-0.066332758,0.082669362,-0.802386233,0.422329574,0.6514839
ENSMUSG00000000782,79.97742079,0.125481927,0.259230473,0.484055464,0.628346507,0.795318649
ENSMUSG00000000787,8798.267331,0.137547424,0.17252158,0.797276631,0.425290389,0.653520195
ENSMUSG00000000791,237.7470162,-0.23495392,0.47551428,-0.494104867,0.621232121,0.791127646
ENSMUSG00000000792,23.65000084,0.79605223,0.323497306,2.460769272,0.013863949,0.099884531
ENSMUSG00000000794,4.802631686,-2.293777903,0.906235869,-2.53110474,0.011370389,NA
ENSMUSG00000000804,1532.151769,0.038529944,0.148051069,0.260247655,0.794672747,0.897936846
ENSMUSG00000000805,140.0236186,-2.278504242,0.391310528,-5.822752214,5.79E-09,6.54E-06
ENSMUSG00000000811,208.1710052,0.209535471,0.210400646,0.995887964,0.319304584,0.561888192
ENSMUSG00000000817,56.60460979,-0.791189314,0.460936908,-1.716480718,0.086074094,0.275009166
ENSMUSG00000000823,1891.659357,0.434633452,0.167313743,2.597715187,0.00938463,0.079550463
ENSMUSG00000000826,2692.315515,-0.001647402,0.116513745,-0.014139123,0.988718988,0.995623208
ENSMUSG00000000827,1867.060549,0.081125152,0.116164179,0.698366334,0.484948125,0.699502273
ENSMUSG00000000838,1567.067345,0.267017191,0.175288674,1.523299735,0.127683733,0.339522474
ENSMUSG00000000861,30.66647591,0.290478183,0.636632554,0.456272902,0.648193748,0.808997531
ENSMUSG00000000869,1.966244274,0.200600228,1.000132971,0.200573557,0.841032036,NA
ENSMUSG00000000876,302.7553854,0.171552584,0.156154971,1.098604693,0.27194053,0.512037713
ENSMUSG00000000881,869.7093559,0.12444523,0.147759373,0.84221547,0.399667356,0.631834255
ENSMUSG00000000884,50.83085873,-1.058880288,0.496289179,-2.133595355,0.032875919,0.16085899
ENSMUSG00000000889,0.036860244,-0.796963375,4.279685918,-0.186220062,0.852272192,NA
ENSMUSG00000000901,907.4900767,-0.563194554,0.239252153,-2.353979039,0.018573658,0.118007369
ENSMUSG00000000902,1440.002741,0.022143251,0.140294028,0.157834598,0.874587135,0.939738609
