id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000001027,48.25214515,-1.022493446,0.764870283,-1.336819418,0.181281589,0.405174971
ENSMUSG00000001029,74.86592146,-0.764734344,0.309325351,-2.472265342,0.013425982,0.093754614
ENSMUSG00000001034,772.1770213,-0.083894254,0.160760667,-0.521858087,0.601769142,0.77930373
ENSMUSG00000001036,1770.909061,0.200211727,0.24443736,0.819071711,0.412745501,0.640802025
ENSMUSG00000001039,155.1434254,-0.192911955,0.150950447,-1.277982001,0.201255773,0.428649767
ENSMUSG00000001052,2519.354465,-0.018707972,0.133691566,-0.139933822,0.888712278,0.947062754
ENSMUSG00000001053,167.9559676,0.231441624,0.170656582,1.356183405,0.175040821,0.396757439
ENSMUSG00000001054,366.8508344,-0.195127832,0.188526288,-1.035016567,0.300661174,0.536625362
ENSMUSG00000001056,1360.955102,-0.186765073,0.159357176,-1.171990355,0.241200929,0.474313569
ENSMUSG00000001062,600.9228744,0.085755335,0.203497516,0.421407282,0.673457703,0.826482071
ENSMUSG00000001065,691.9778772,0.094923337,0.129469132,0.733173499,0.463452617,0.682632367
ENSMUSG00000001076,2.849522917,-0.633786211,0.90589897,-0.699621295,0.48416384,NA
ENSMUSG00000001082,1917.681659,-0.192157788,0.173444321,-1.107893225,0.267907932,0.50238154
ENSMUSG00000001089,1431.858889,-0.086511448,0.110296138,-0.78435609,0.432831196,0.657621726
ENSMUSG00000001095,0.770613376,-0.056429504,1.53219793,-0.036829121,0.970621254,NA
ENSMUSG00000001098,3325.053078,0.019874423,0.118793953,0.167301637,0.867132716,0.937015642
ENSMUSG00000001100,1461.663874,0.152600552,0.095039099,1.605660762,0.108348467,0.303347529
ENSMUSG00000001103,0.356645643,-0.471486695,4.22348107,-0.111634618,0.911113123,NA
ENSMUSG00000001105,515.9251121,-0.208720327,0.094891104,-2.199577384,0.027836893,0.142013466
ENSMUSG00000001119,11519.42113,0.164586196,0.187773408,0.876514931,0.380750163,0.612083808
ENSMUSG00000001120,384.7101439,-0.232784713,0.232062897,-1.003110433,0.315807581,0.550999775
ENSMUSG00000001123,1498.752892,-0.150458682,0.132872732,-1.132351835,0.257486546,0.491565846
ENSMUSG00000001127,2098.602827,0.027789969,0.078874772,0.352330258,0.724590599,0.856109838
ENSMUSG00000001128,2943.21576,-0.866738789,0.182991759,-4.736490825,2.17E-06,0.000305336
ENSMUSG00000001131,5289.801252,-0.788017369,0.248413909,-3.17219503,0.001512914,0.026390188
ENSMUSG00000001134,225.978811,-0.052176132,0.117201619,-0.44518269,0.656187735,0.81528486
ENSMUSG00000001138,558.5581398,0.546694259,0.206083442,2.652781099,0.007983162,0.069225686
ENSMUSG00000001143,528.5674136,0.035910933,0.119068455,0.301599049,0.762957733,0.878220117
ENSMUSG00000001150,1070.344642,0.354454768,0.191661475,1.849379318,0.06440306,0.225410709
ENSMUSG00000001151,123.9734548,-0.14267377,1.697450232,-0.084051813,0.933015236,0.970024326
ENSMUSG00000001155,1.390370032,0.049237032,1.28402569,0.038345831,0.96941195,NA
ENSMUSG00000001156,851.3145946,-1.046203032,0.25024433,-4.180726225,2.91E-05,0.001904054
ENSMUSG00000001157,624.0633214,0.219729161,0.10109951,2.173394916,0.029750607,0.147654134
ENSMUSG00000001158,773.3271437,-0.296068775,0.14073351,-2.103754649,0.035399855,0.163886991
ENSMUSG00000001166,76.52884356,-0.439691199,0.327419825,-1.342897299,0.179305231,0.402428762
ENSMUSG00000001168,0,NA,NA,NA,NA,NA
ENSMUSG00000001173,1581.408351,-0.116188138,0.126979673,-0.915013677,0.36018445,0.593728282
ENSMUSG00000001175,13710.84249,0.275249093,0.193574852,1.421925885,0.155047768,0.371203322
ENSMUSG00000001211,1563.020109,0.032025618,0.159323893,0.201009512,0.840691136,0.922532119
ENSMUSG00000001225,8.971493013,0.664720607,0.580854997,1.144383041,0.252464818,0.486000419
ENSMUSG00000001227,775.1020479,0.264879016,0.161956628,1.635493516,0.101945633,0.293699569
ENSMUSG00000001228,3111.175997,0.618648172,0.192266851,3.217653842,0.001292437,0.024166647
ENSMUSG00000001229,1630.804698,0.483958821,0.216390965,2.236501977,0.025318908,0.13478674
